report_date,descr_stage,report_text,event_date,date_source,assigned_carrier,ac_manufacturer,ac_family,ac_standard_name,ac_reported_name,ac_number_of_ac,geo_loc,geo_loc_ind,geo_loc2,geo_nlocs,geo_iso_code,geo_country,geo_lat,geo_long,descr_part,descr_action,descr_adjective,descr_condition
2008-09-08,,"China Southern A320 at Shenzhen on Sep 7th 2008, hydraulics leak, odour",2008-09-07,Extracted,china southern,airbus,A320 family,A320,A320,1,Shenzhen,at,Shenzhen,1,CHN,China,22.53,114.13,,smell;leak,,
2008-09-08,,"Qantas B763 near Brisbane on Sep 7th 2008, air conditioning trouble",2008-09-07,Extracted,qantas,boeing,767 family,B767,B763,1,Brisbane,near,Brisbane,1,AUS,Australia,-27.46,153.02,,trouble,,
2008-09-09,,"Canadian North B732 near Yellowknife on Sep 1st 2008, frozen[[:space:]]hydraulics",2008-09-01,Extracted,canadian north,boeing,737 family,B737,B732,1,Yellowknife,near,Yellowknife,1,CAN,Canada,62.46,-114.36,,,,
2008-09-09,,"Korean Airlines B744 near Parry Islands on Sep 7th 2008, crew advised[[:space:]]to not comply with ATC clearance",2008-09-07,Extracted,korean airlines,boeing,747 family,B747,B744,1,Parry Islands,near,Parry Islands,1,NA,NA,NA,NA,cabin_crew;atc,,,
2008-09-09,,"Korean Airlines B744 near Parry Islands on Sep 7th 2008, crew advised[[:space:]]to not comply with ATC clearance",2008-09-07,Extracted,korean,boeing,747 family,B747,B744,1,Parry Islands,near,Parry Islands,1,NA,NA,NA,NA,cabin_crew;atc,,,
2008-09-09,,"Rossiya T154 at St. Petersburg on Sep 9th 2008, hydraulics failure forces return",2008-09-09,Extracted,rossiya,tupolev,Tu-154 family,T154,T154,1,St. Petersburg,at,St. Petersburg,1,RUS,Russia,59.742650799072265,30.300400881469727,,failure;return,,
2008-09-09,,"Rossiya T154 at St. Petersburg on Sep 9th 2008, hydraulics failure forces return",2008-09-09,Extracted,rossiya,tupolev,Tu-154 family,T154,T154,1,St. Petersburg,at,St. Petersburg,1,USA,United States,27.83765006,-82.65719991,,failure;return,,
2008-09-09,runway,"Skywest CRJ7 at San[[:space:]]Antonio on Sep 7th 2008, ran off runway",2008-09-07,Extracted,skywest,bombardier,CRJ family,CRJ7,CRJ7,1,San[[,at,San[[,1,NA,NA,NA,NA,,ran off,,
2008-09-09,,"Westjet B73G at Halifax on Sep 6th 2008, skunk strike",2008-09-06,Extracted,westjet,boeing,737 family,B737,B73G,1,Halifax,at,Halifax,1,CAN,Canada,44.67,-63.61,,,,
2008-09-10,,"Air Canada A319 near Winnipeg on Sep 8th 2008, cracked windshield",2008-09-08,Extracted,air canada,airbus,A320 family,A319,A319,1,Winnipeg,near,Winnipeg,1,CAN,Canada,49.88,-97.17,,cracked,,
2008-09-10,,"Air Canada A319 near Winnipeg on Sep 8th 2008, cracked windshield",2008-09-08,Extracted,canada,airbus,A320 family,A319,A319,1,Winnipeg,near,Winnipeg,1,CAN,Canada,49.88,-97.17,,cracked,,
2008-09-10,,"AirBridgeCargo B744 at Beijing on Sep 5th 2008, bird strike",2008-09-05,Extracted,NA,boeing,747 family,B747,B744,1,Beijing,at,Beijing,1,CHN,China,39.93,116.4,,bird_strike,,
2008-09-10,,"Cathay Pacific B744 near Toronto on Sep 8th 2008, smoke in cockpit",2008-09-08,Extracted,cathay,boeing,747 family,B747,B744,1,Toronto,near,Toronto,1,CAN,Canada,43.65,-79.38,,smoke,,
2008-09-10,,"Cathay Pacific B744 near Toronto on Sep 8th 2008, smoke in cockpit",2008-09-08,Extracted,cathay pacific,boeing,747 family,B747,B744,1,Toronto,near,Toronto,1,CAN,Canada,43.65,-79.38,,smoke,,
2008-09-10,,"Jetstar A320 near Hervey Bay on Sep 10th 2008, unruly passenger",2008-09-10,Extracted,jetstar,airbus,A320 family,A320,A320,1,Hervey Bay,near,Hervey Bay,1,AUS,Australia,-25.29,152.84,passenger,,,
2008-09-10,,"TAP A332 near Fortaleza on Sep 8th 2008, overtemperature in cargo compartment",2008-09-08,Extracted,tap,airbus,A330 family,A332,A332,1,Fortaleza,near,Fortaleza,1,BRA,Brazil,-3.78,-38.59,,,,
2008-09-11,,"Air Canada A319 near Winnipeg on Sep 7th 2008, multiple system failures",2008-09-07,Extracted,air canada,airbus,A320 family,A319,A319,1,Winnipeg,near,Winnipeg,1,CAN,Canada,49.88,-97.17,,failure,,
2008-09-11,,"Air Canada A319 near Winnipeg on Sep 7th 2008, multiple system failures",2008-09-07,Extracted,canada,airbus,A320 family,A319,A319,1,Winnipeg,near,Winnipeg,1,CAN,Canada,49.88,-97.17,,failure,,
2008-09-11,,"Air Canada A320 near Calgary on Sep 2nd 2008, multiple systems failure",2008-09-02,Extracted,air canada,airbus,A320 family,A320,A320,1,Calgary,near,Calgary,1,CAN,Canada,51.05,-114.06,,failure,,
2008-09-11,,"Air Canada A320 near Calgary on Sep 2nd 2008, multiple systems failure",2008-09-02,Extracted,canada,airbus,A320 family,A320,A320,1,Calgary,near,Calgary,1,CAN,Canada,51.05,-114.06,,failure,,
2008-09-11,,"Air China B736 near Beijing on Sep 6th 2008, unruly passenger",2008-09-06,Extracted,air china,boeing,737 family,B737,B736,1,Beijing,near,Beijing,1,CHN,China,39.93,116.4,passenger,,,
2008-09-11,on_ground,"American MD80 at Dallas on May 30th 2008, taxied too slowly for management pilot",2008-05-30,Extracted,american,mcdonnell_douglas,MD80 family,MD80,MD80,1,Dallas,at,Dallas,1,USA,USA,32.79,-96.77,pilot,,,
2008-09-11,,"American MD82 at Toronto on Sep 9th 2008, unsafe nose gear",2008-09-09,Extracted,american,mcdonnell_douglas,MD80 family,MD82,MD82,1,Toronto,at,Toronto,1,CAN,Canada,43.65,-79.38,,,unsafe,
2008-09-11,,"British Airways A319 at London on Sep 10th 2008, smell of smoke in cockpit",2008-09-10,Extracted,british airways,airbus,A320 family,A319,A319,1,London,at,London,1,GBR,UK,51.52,-0.1,,smell;smoke,,
2008-09-11,,"British Airways A319 at London on Sep 10th 2008, smell of smoke in cockpit",2008-09-10,Extracted,british[[:space:]]airways,airbus,A320 family,A319,A319,1,London,at,London,1,GBR,UK,51.52,-0.1,,smell;smoke,,
2008-09-11,,"Cathay Pacific B744 near Vancouver on Sep 10th 2008, engine lubrication problem",2008-09-10,Extracted,cathay,boeing,747 family,B747,B744,1,Vancouver,near,Vancouver,1,CAN,Canada,49.28,-123.13,,problem,,
2008-09-11,,"Cathay Pacific B744 near Vancouver on Sep 10th 2008, engine lubrication problem",2008-09-10,Extracted,cathay pacific,boeing,747 family,B747,B744,1,Vancouver,near,Vancouver,1,CAN,Canada,49.28,-123.13,,problem,,
2008-09-11,approach,"Kenya Airways B772 at Kigali on Sep 9th 2008, struck lighting pole after landing",2008-09-09,Extracted,kenya,boeing,777 family,B777,B772,1,Kigali,at,Kigali,1,RWA,Rwanda,-1.94,30.06,,,,
2008-09-11,approach,"Kenya Airways B772 at Kigali on Sep 9th 2008, struck lighting pole after landing",2008-09-09,Extracted,kenya airways,boeing,777 family,B777,B772,1,Kigali,at,Kigali,1,RWA,Rwanda,-1.94,30.06,,,,
2008-09-11,,"South Airlines A140 at Kiev on Sep 6th 2008, nose gear did not extend",2008-09-06,Extracted,south airlines,antonov,A140,A140,A140,1,Kiev,at,Kiev,1,UKR,Ukraine,50.43,30.52,,,,
2008-09-12,,"Air Arabia A320 near Chittagong on Sep 11th 2008, bomb hoax",2008-09-11,Extracted,arabia,airbus,A320 family,A320,A320,1,Chittagong,near,Chittagong,1,BGD,Bangladesh,22.24959945678711,91.81330108642578,,,,
2008-09-12,,"Air Arabia A320 near Chittagong on Sep 11th 2008, bomb hoax",2008-09-11,Extracted,air arabia,airbus,A320 family,A320,A320,1,Chittagong,near,Chittagong,1,BGD,Bangladesh,22.24959945678711,91.81330108642578,,,,
2008-09-12,,"Air Canada A320 near Chicago on Sep 11th 2008, medical emergency",2008-09-11,Extracted,air canada,airbus,A320 family,A320,A320,1,Chicago,near,Chicago,1,USA,USA,41.84,-87.68,,emergency,medical,
2008-09-12,,"Air Canada A320 near Chicago on Sep 11th 2008, medical emergency",2008-09-11,Extracted,canada,airbus,A320 family,A320,A320,1,Chicago,near,Chicago,1,USA,USA,41.84,-87.68,,emergency,medical,
2008-09-12,,"Croatia Airlines DH8D[[:space:]]at Zagreb on Sep 9th 2008, fuel temperature problem",2008-09-09,Extracted,croatia airlines,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,,problem,,
2008-09-12,,"Croatia Airlines DH8D[[:space:]]at Zagreb on Sep 9th 2008, fuel temperature problem",2008-09-09,Extracted,croatia,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,,problem,,
2008-09-12,,"Four Star Cargo DC3 at San Juan on Sep 10th 2008, main gear collapse",2008-09-10,Extracted,NA,mcdonnell_douglas,DC3 family,DC3,DC3,1,San Juan,at,San Juan,1,ARG,Argentina,-31.54,-68.53,,collapse,,
2008-09-12,departure,"Ryanair B738 at Dublin on Sep 11th 2008, tail strike on takeoff",2008-09-11,Extracted,ryanair,boeing,737 family,B737,B738,1,Dublin,at,Dublin,1,IRL,Ireland,53.33,-6.25,,,,
2008-09-13,,"American MD82 near Amarillo on Sep 12th 2008, engine problem",2008-09-12,Extracted,american,mcdonnell_douglas,MD80 family,MD82,MD82,1,Amarillo,near,Amarillo,1,USA,USA,35.2,-101.82,,problem,,
2008-09-13,,"Delta Airlines MD88 at Atlanta on Sep 11th 2008, bird[[:space:]]strike",2008-09-11,Extracted,delta airlines,mcdonnell_douglas,MD80 family,MD88,MD88,1,Atlanta,at,Atlanta,1,USA,USA,33.76,-84.42,,bird_strike,,
2008-09-13,,"Delta Airlines MD88 at Atlanta on Sep 11th 2008, bird[[:space:]]strike",2008-09-11,Extracted,delta,mcdonnell_douglas,MD80 family,MD88,MD88,1,Atlanta,at,Atlanta,1,USA,USA,33.76,-84.42,,bird_strike,,
2008-09-13,,"Delta Airlines MD88 at Atlanta on Sep 11th 2008, bird[[:space:]]strike",2008-09-11,Extracted,delta[[:space:]]airlines,mcdonnell_douglas,MD80 family,MD88,MD88,1,Atlanta,at,Atlanta,1,USA,USA,33.76,-84.42,,bird_strike,,
2008-09-13,,"Expressjet[[:space:]]E145 near Montreal on Sep 11th 2008, waypoint confusion leads to loss of separation",2008-09-11,Extracted,NA,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,,loss of separation,,
2008-09-13,runway,"Gol B738 at Manaus on Sep 11th 2008, failed runway lights",2008-09-11,Extracted,gol,boeing,737 family,B737,B738,1,Manaus,at,Manaus,1,BRA,Brazil,-3.12,-60.02,,failure,,
