orig_text,reporting_date
"GermanWings A319 at Hamburg on June 11th 2007, unrecognized error message triggers emergency landing",2007-06-12
Northwest DC-9 depressurization on May 18th 2007,2007-06-12
"SkyWest EMB120 and Republic EMB170 at San Francisco on May 26h 2007, EMB170 took off over EMB120 on same runway",2007-06-12
"SpiceJet B738 at Calcutta on June 6th 2007, ADC failed and all CRTs went blank losing all primary instruments",2007-06-12
"American Eagle E135 at Boston Logan on June 20th 2007, gear up landing aborted after ground contact",2007-06-29
"TAAG B737 at M'banza Congo on June 28th 2007, aircraft went into building on landing",2007-06-29
Cessna Caravan crashes in West of Ireland.,2007-06-30
"Armavia A320 near Sochi on May 3rd 2006, went into Black Sea on landing in Sochi",2007-07-07
"PIA B743 at Jeddah on July 9th 2007, turbine disintegration during takeoff results in all engines out",2007-07-11
"British Airways B744 at Rio de Janeiro on July 11th 2007, false fire alarm in cargo prompts evacuation",2007-07-12
"India Express B738 at Cochin on July 11th 2007, illegal autoland disconnected, airplane veered off runway",2007-07-13
"Pantanal ATR42 at Sao Paolo on July 16th 2007, airplane aquaplaned on landing resulting in gear collapse",2007-07-18
"Jetstar A332 near Bali on July 22nd 2007, engine failure enroute prompts diversion",2007-07-24
"Edelweiss A330 at Miami on Oct 5th 2003, uncontained engine failure during departure",2007-07-25
"BA B777 and BA A319 at Heathrow on July 27th 2007, B777 on pushback hits A319 taxiing in",2007-07-27
"Comair CRJ100 at Lexington on Aug 27th 2006, shortly after takeoff",2007-07-27
"TAM A320 at Sao Paolo on July 17th 2007, overshot runway and crashed into petrol station",2007-08-02
"Hapag Lloyd A310 at Vienna on July 12th 2000, all engines quit over fuel exhaustion, crash landing",2007-08-06
"Aer Lingus A330 at Dublin on Aug 10th 2007, fire warning shortly after takeoff",2007-08-10
"EasyJet B737 near Geneva on Aug 15th 2003, encountered severe hail storm",2007-08-11
"WestJet B737 and NorthWest A320 at LAX on Aug 16th 2007, runway incursion",2007-08-21
"RyanAir B738 at Krakow on Aug 28th 2007, bird strike upon landing, both tires on NLG blown",2007-08-28
"Royal Brunei B763 at Heathrow on Aug 31st 2007, engine failure on takeoff",2007-08-31
"ThomsonFly B757 at East Midlands on Sep 1st 2007, blown nosewheel tyre due to failed bolt",2007-09-01
"ThomsonFly B757 at Manchester on Sep 1st 2007, burning smell in cockpit",2007-09-02
"Onur A321 near Istanbul on Sep 12th 2007, rapid decompression at FL350",2007-09-13
"TAP A310 at Evora on Sep 15th 2007, airplane nearly hits ground with wing tip during low flypast  (video)",2007-09-17
"SAS Q400 at Vilnius on Sep 12th 2007, right main gear collapsed on landing",2007-09-18
"Africa One AN26 at Kinshasa, freighter crashed onto market place",2007-10-05
"LaudaAir B738 at Linz on Oct 2nd 2007, tailstrike at about taxi speed",2007-10-05
"LTU A330 at Dusseldorf on Oct 4th 2007, lost part of engine cowling shortly after takeoff",2007-10-05
"All Nippon A320 and Japan MD-87 at Osaka on Oct 5th 2007, ANA landed on wrong runway, MD87 averted collision on runway",2007-10-07
"Atlas B747 at Lagos on Oct 2nd 2007, missed terminal's roof by 16ft on landing",2007-10-08
"Japan  B738 at Osaka on Oct 7th 2007, tail strike on landing",2007-10-08
"LTU A333 at Jacksonville on Oct 8th 2007, severe engine failure en route",2007-10-09
"Air Moorea Twin Otter at Tahiti on August 10th 2007, impacted a lagoon",2007-10-13
"AMC MD83 at Istanbul on Oct 11th 2007, veered off runway after main gear collapse",2007-10-13
"BA A320 near Brussels on Oct 21st 2007, emergency descent due to windshield problems",2007-10-16
"BA B744 and Sri Lankan A340 at London Heathrow on Oct 15th 2007, Sri Lankan A340 touches wing tip of BA",2007-10-16
"China Airlines B738 at Saga on Oct 5th 2007, overran runway on takeoff running through approach lights and got airborne",2007-10-16
"Thomsonfly B757 at Alicante on Oct. 23rd 2007, severe engine failure, #1 on fire",2007-10-23
"NorthWest A320 at Fargo on Oct 20th 2007, nosewheel tilted 90 degrees on landing",2007-10-24
"Virgin Atlantic A340 near London Heathrow on Oct 24th 2007, unsafe reverser indication prompts return",2007-10-25
"PAL A320 at Butuan on Oct 25th 2007, overran runway",2007-10-26
"Jeju Air Q400 at Busan on Aug 12th 2007, skidded off the runway on landing",2007-10-31
"Southwest B737 at Chicago Midway on Dec 9th 2005, overran runway and collided with cars",2007-10-31
"SAA A340 at Cape Town on Nov 2nd 2007, got stuck in the sand after landing",2007-11-02
"Tango 01 B757 at Buenos Aires on Oct 28th 2007, Argentine's presidential plane suffered failed engine, ""interesting"" landing",2007-11-02
"BA RJ100 at Stansted on Nov 1st 2007, failed hydraulics causes diversion and full emergency response",2007-11-03
"Mandala B732 at Malang on Nov 1st 2007, nose gear collapse upon landing",2007-11-03
"US Airways A319 at Boston on Nov 6th 2007, both pilots and three FAs ill due to toxic air",2007-11-05
"Thai Airways A330 at Hat Yai on Nov 6th 2007, lost pressurization, emergency descent",2007-11-08
"Eagle Air B1900 at Blenheim on June 17th 2007, gear malfunction causes belly landing (video)",2007-11-09
"CSN A319 and ANA A320 at Chubu on Nov 12th 2007, runway incursion, aborted landing",2007-11-13
"Kulula MD-82 near Johannesburg on Nov 12th 2007, low oil indication, engine shutdown",2007-11-13
"Air Europe B738 at Katowice on Oct 28th 2007, descended too low and plowed through approach lights upon landing",2007-11-14
"Estonian B735 near Amsterdam on Nov 13th 2007, lost all air data enroute",2007-11-16
"Midwest 328JET and United Express CRJ200 near Ft. Wayne on Nov 13th 2007, TCAS RA at FL250",2007-11-16
"Turkish B738 at Stansted on Oct 16th 2006, after erroneous read of SID flies 500 feet AGL",2007-11-16
"Etihad A330 out of Abu Dhabi on Sep 5th 2007, one engine failed enroute, second on final approach",2007-11-17
"ThomsonFly B733 at Bournemouth on Sep 23rd 2007, severe stall (40 degrees ANU and 90 KIAS) during approach",2007-11-18
"Airbus A330 near Toulouse on Nov 21st 2007, sudden decompression",2007-11-21
"One Two Go MD82 at Phuket on Sep 16th 2007, skidded off the runway and burst into flames",2007-11-21
"FlyBe EMB195 at Belfast on Nov 20th 2007, flapless landing",2007-11-22
"SAS Q400 at Kalmar on Apr 6th 2006, near loss of control after propeller overspeed",2007-11-22
"Thomsonfly B757 at Arrecife on Nov 21st 2007, multiple engine surges on takeoff",2007-11-23
"United A319 near Fargo on Nov 23rd 2007, attempt to intrude the cockpit",2007-11-24
"BA B767 at Manchester on Nov 23rd 2007, flight cancelled due anonymous claim of drunk crew",2007-11-25
"Batavia B734 near Jakarta on Nov 21st 2007, lost piece of wing during climb out",2007-11-25
"Air France B773 near Petersburg on Nov 25th 2007, engine failure enroute, diversion to St. Petersburg",2007-11-27
"RyanAir B737 at Bergamo on Nov 28th 2007, crocodile without dundee halts departure",2007-11-27
"Qantas B763 overhead Pacific on July 9th 2007, captain collapsed, f/o out of seat",2007-11-29
"Airbus A346 at Toulouse on Nov 15th 2007, escaped during engine tests and went into a wall",2007-11-30
"Aerocondor C208GC south of Lima on Dec 2nd 2007, emergency landing on Panamericana",2007-12-03
"Lion MD90 at Jakarta on Dec 4th 2007, lost cowling piece of 3 meters on runway",2007-12-04
